time,yaw,pitch,roll
2023-03-19 20:5:57.8230,-2.199,48.855,-9.088
2023-03-19 20:5:57.9240,-2.854,48.184,-12.05
2023-03-19 20:5:58.0250,-3.506,47.805,-15.444
2023-03-19 20:5:58.1250,-4.406,44.645,-17.463
2023-03-19 20:5:58.2260,-5.444,39.587,-18.953
2023-03-19 20:5:58.3280,-6.773,35.225,-20.93
2023-03-19 20:5:58.4280,-7.718,33.34,-22.739
2023-03-19 20:5:58.5280,-8.659,30.66,-23.916
2023-03-19 20:5:58.6310,-8.155,27.262,-20.623
2023-03-19 20:5:58.7300,-7.443,24.077,-15.561
2023-03-19 20:5:58.8330,-6.881,22.112,-8.391
2023-03-19 20:5:58.9320,-5.368,22.834,2.867
2023-03-19 20:5:59.0340,-4.233,27.0,11.578
2023-03-19 20:5:59.1350,-3.915,30.827,19.591
2023-03-19 20:5:59.2340,-3.681,34.843,24.349
2023-03-19 20:5:59.3350,-4.745,42.148,18.53
2023-03-19 20:5:59.4360,-5.618,50.612,8.732
2023-03-19 20:5:59.5360,-6.603,54.443,0.997
2023-03-19 20:5:59.6370,-5.892,54.699,-5.167
2023-03-19 20:5:59.7380,-4.833,51.33,-10.321
2023-03-19 20:5:59.8390,-5.183,47.393,-12.96
2023-03-19 20:5:59.9410,-5.417,45.027,-14.279
2023-03-19 20:6:00.0400,-5.198,43.21,-13.995
2023-03-19 20:6:00.1410,-4.732,43.578,-13.05
2023-03-19 20:6:00.2420,-4.193,44.422,-11.512
2023-03-19 20:6:00.3440,-3.694,45.859,-8.892
